graph_name,acc,time,macro-avg-f1-score
data_754_features_corr_graph_subgraph40.gpickle,-0.032048967,-0.059607815,334
data_754_features_corr_graph_subgraph400.gpickle,-0.013883998,-0.037116975,335
data_754_features_corr_graph_subgraph401.gpickle,-0.005733797,-0.029602759,336
data_754_features_corr_graph_subgraph402.gpickle,-0.017542673,-0.049485013,337
data_754_features_corr_graph_subgraph403.gpickle,0.028723445,0.061909087,338
data_754_features_corr_graph_subgraph404.gpickle,-0.001393598,-0.006163781,339
data_754_features_corr_graph_subgraph405.gpickle,-0.004878459,-0.019109713,340
data_754_features_corr_graph_subgraph406.gpickle,-0.011722305,-0.036650937,341
data_754_features_corr_graph_subgraph407.gpickle,-0.005168994,-0.007696225,342
data_754_features_corr_graph_subgraph408.gpickle,-0.014017709,-0.03237511,343
data_754_features_corr_graph_subgraph409.gpickle,-0.003988206,-0.013156232,344
data_754_features_corr_graph_subgraph41.gpickle,-0.011715933,0.010094451,345
data_754_features_corr_graph_subgraph410.gpickle,0.003488001,0.02544205,346
data_754_features_corr_graph_subgraph411.gpickle,-0.006821811,-0.01613209,347
data_754_features_corr_graph_subgraph412.gpickle,-0.009566465,-0.004965416,348
data_754_features_corr_graph_subgraph413.gpickle,-0.001509098,-0.021415602,349
data_754_features_corr_graph_subgraph414.gpickle,-0.003965787,-0.026151149,350
data_754_features_corr_graph_subgraph415.gpickle,0.015911669,0.022356706,351
data_754_features_corr_graph_subgraph416.gpickle,-0.009570206,-0.0348112,352
data_754_features_corr_graph_subgraph417.gpickle,0.002110824,0.009167633,353
data_754_features_corr_graph_subgraph418.gpickle,0.006182073,0.014749024,354
data_754_features_corr_graph_subgraph419.gpickle,0.006200972,0.008333385,355
data_754_features_corr_graph_subgraph42.gpickle,-0.01031192,-0.028462555,356
data_754_features_corr_graph_subgraph420.gpickle,0.008183621,0.03461502,357
data_754_features_corr_graph_subgraph421.gpickle,0.005547576,-0.011180211,358
data_754_features_corr_graph_subgraph422.gpickle,-0.004669342,-0.021069922,359
data_754_features_corr_graph_subgraph423.gpickle,0.018278817,0.05248272,360
